initiative,concurrent,date,impact,notre_statut,est_opportunite
Lancement module IA prédictive,Concurrent A,2024-02-15,Élevé,En cours,True
Offre freemium introduite,Concurrent B,2024-03-01,Moyen,Non planifié,True
Réduction prix 20%,Concurrent A,2024-04-10,Élevé,Analyse en cours,False
Partenariat Microsoft 365,Concurrent C,2024-05-22,Élevé,Non planifié,True
Application mobile lancée,Concurrent B,2024-06-01,Moyen,En développement,False
Support 24/7 offert,Concurrent A,2024-07-15,Moyen,Planifié Q4,False
Certification ISO 27001,Concurrent C,2024-08-20,Moyen,En cours,False
Programme fidélité client,Concurrent B,2024-09-05,Faible,Non planifié,True
API publique ouverte,Concurrent A,2024-10-12,Élevé,Planifié Q1 2025,True
Rachat de startup données,Concurrent C,2024-11-01,Élevé,Surveillance,False
Module conformité RGPD avancé,Concurrent B,2025-01-15,Moyen,En cours,False
Tarification à l'usage,Concurrent A,2025-02-28,Élevé,Analyse en cours,True
